Update Overview - Last Update: 20.07.2017,kRO Sakray,kRO Main,euRO,iRO
"New Guid Skill - Guild Storage (5 Iv!, 100 Slots ea) ",04.12.2013,???,no,no
Episode 15.2 - Memory Record,11.12.2013,23.12.2013,no,yes
New World Map (with Jottunheim and Global Project) ,11.12.2013,08.01.2014,no,yes
Shop History added (Buy.Sell - log with Name.Time.Item) ,08.01.2014,22.01.2014,no,no
Eden Group Market Hall,26.02.2014,12.03.2014,no,no
Summons & Homu S Update,12.03.2014 (?),16.04.2014 (?),no,no
UI Update (seg. Status and new Logos for Shortcuts) ,14.05.2014,???,no,no
Pazudora Island (JRO - August 2014),???,???,no,no
Monster EXP increased (Base 75% &Job 100%) ,30.07.2014,06.08.2014,no,some
Monster HP.ATK.Spawn adjustment,30.07.2014,06.08.2014,no,some
Mini-Game - Roulette Lucky (01.04.2015 removed),03.09.2014,08.10.2014,X,X
Pet Evolution,24.09.2014,08.10.2014,no,no
New Mailsystem RODEX,08.10.2014,19.11.2014,no,yes
Memorial D. - Infinity Dungeon (Pharos Island Iv.100+) ,22.10.2014,29.10.2014,no,no
Achievement System,26.11.2014,25.02.2015,no,yes
"Job Exp for 1"" and 211 Cls modified - need less EXP ",24.12.2014,07.01.2015,no,no
Episode 16.1 - Banquet for Heroes,04.02.2015,25.02.2015,no,yes
New Prontera City,04.02.2015,25.02.2015,no,no
Daily Quest initialization every day at lam ,04.02.2015,25.02.2015,no,no
"Chat,lnventory, Kafra can now be scrolled by P. up.down ",04.03.2015,???,no,no
Renewed UI for Bank System,25.03.2015,08.04.2015,no,no
Modified Mini-map and possibility to add notes,25.03.2015,08.04.2016,no,no
Mechanic Skill [Pill Bunker] Change - 3 new Weapon ,01.04.2015,08.04.2016,no,no
New Status Icons,20.05.2015,05.08.2016,no,no
Infinity Dungeon renewed (normal.hard added+new armor) ,24.06.2015,01.07.2015,no,no
Jonda Service improved,---,12.08.2016,no,no
Item Link System (show others your Items via chat.pm) ,19.08.2015,23.09.2015,no,no
"Eden Group renewed (e.g below 100, missions changed) ",09.09.2015,07.10.2015,no,no
Reputation System,23.09.2015,14.10.2015,no,no
New playable race 'Doram'- Cat Hand Group race,01.10.2015,28.10.2016,no,no
New Job for Doram - Summoner,01.10.2015,28.10.2016,no,no
"New Continent (Far-Star), Town (Lasagna) & Dungeon ",01.10.2015,28.10.2015,no,no
New Chara.Creation UI - with Sex and Race,01.10.2015,28.10.2015,no,no
Memorial D. - Half Moon In The Daylight,21.10.2015,11.11.2015,no,no
New Prontera City xmas decoration,---,09.12.2015,no,no
Styling Interface System ,13.01.2016,27.01.2016,no,no
Episode 16.2 - Terra Gloria,24.02.2016,09.03.2016,no,no
"UI Update (On.Off Member, Minimap, etc)",30.03.2016,30.03.2016,no,no
New Weapon for Gunslinger Cls (Military Base Instance) ,18.05.2016,???,no,no
Sakray Server renewal,01.06.2016,---,no,no
5 new Pets for Pet Evolution,15.06.2016,29.06.2016,no,no
New Skills for Lv.100+ Summoner,???,29.06.2016,no,no
"New ""Boss Mark"" icon (before monster name)",06.07.2016,20.07.2016,no,no
Eden Group 100-140 overhaul + new Equipment,17.08.2016,24.08.2016,no,no
World Map improved (added new maps),31.08.2016,???,no,no
3 new Pets for Pet Evolution ,21.09.2016,28.09.2016,no,no
UI Smelting System,09.11.2016,30.11.2016,no,no
Global Project - Rock Ridge (North America),16.11.2016,09.12.2016,no,yes
Prontera back to classic look (Fixing),30.11.2016,---,no,no
Doram x Human Wedding.Adoption,07.12.2016,14.12.2016,no,no
New Instance - Illusion of Moonlight (Payon Dungeon) ,07.12.2016,28.12.2016,no,no
Memorial Dungeon Beginner Mode - NTF & OGH ,???,04.01.2017,no,no
Monster Race in Hugel Renewed,11.01.2017,18.01.2017,no,no
New Instance - Illusion Vampire (Geffen Tower),11.01.2017,25.01.2017,no,no
4 New Pets for Pet Evolution,01.02.2017,08.02.2017,no,no
Equipment Replacing System,08.02.2017,???,no,no
New Instance - Illusion of Frozen (Ice Cave),15.02.2017,22.02.2017,no,no
New Instance - Illusion Turtle Palace (Turtle Island) ,05.04.2017,20.04.2017,no,no
Autotrade System,20.04.2016,14.06.2017,no,no
Party Window Overhaul ,02.05.2017,24.05.2017,no,no
New Cards for Terra Gloria,05.07.2017,19.07.2017,no,no
,,,,
Episode 18.1 - Banish European Union,25.05.2018,25.05.2018,no,yes
,,,,
,,,,
,,,,
,,,,
SL.TKM Expansion - Soul Reaper & Star Emperor ,--- 2017 ---,,no,no
Episode 17.1 - ???,--- 2018 ---,,no,no
Max. Level 185,,,no,no
Homunculus System Overhaul,,,no,no
WoE's Overhaul,,,no,no
Party Booking Overhaul,,,no,no
Battleground Overhaul,,,no,no
